Date,Positive Total,Positive New,7-day confirmed case average,
3/2/21,553453,1426,1385.2857,
3/3/21,555017,1564,1369.5714,
3/4/21,556541,1524,1362.0000,
3/5/21,557906,1365,1353.1429,
3/6/21,558767,861,1338.5714,
3/7/21,559508,741,1322.8571,
3/8/21,561259,1751,1318.8571,
3/9/21,562844,1585,1341.5714,
3/10/21,564376,1532,1337.0000,
3/11/21,565974,1598,1347.5714,
3/12/21,567413,1439,1358.1429,
3/13/21,568483,1070,1388.0000,
3/14/21,569312,829,1400.5714,
3/15/21,571296,1984,1433.8571,
3/16/21,573105,1809,1465.8571,
3/17/21,574965,1860,1512.7143,
3/18/21,576891,1926,1559.5714,
3/19/21,578636,1745,1603.2857,
3/20/21,579868,1232,1626.4286,
3/21/21,580909,1041,1656.7143,
3/22/21,583283,2374,1712.4286,
3/23/21,585398,2115,1756.1429,
3/24/21,587679,2281,1816.2857,
3/25/21,590057,2378,1880.8571,
3/26/21,592198,2141,1937.4286,
3/27/21,593593,1395,1960.7143,
3/28/21,594716,1123,1972.4286,
3/29/21,597316,2600,2004.7143,
3/30/21,599620,2304,2031.7143,
3/31/21,601956,2336,2039.5714,
4/1/21,604198,2242,2020.1429,
4/2/21,606070,1872,1981.7143,
4/3/21,607336,1266,1963.2857,
4/4/21,608090,754,1910.5714,
4/5/21,610561,2471,1892.1429,
4/6/21,612724,2163,1872.0000,
4/7/21,614944,2220,1855.4286,
4/8/21,617132,2188,1847.7143,
4/9/21,619020,1888,1850.0000,
4/10/21,620390,1370,1864.8571,
4/11/21,621333,943,1891.8571,
4/12/21,623535,2202,1853.4286,
4/13/21,625424,1889,1814.2857,
4/14/21,627290,1866,1763.7143,
4/15/21,628960,1670,1689.7143,
4/16/21,630349,1389,1618.4286,
4/17/21,631418,1069,1575.4286,
4/18/21,632208,790,1553.5714,
4/19/21,633753,1545,1459.7143,
4/20/21,635199,1446,1396.4286,
4/21/21,636593,1394,1329.0000,
4/22/21,637954,1361,1284.8571,
4/23/21,639126,1172,1253.8571,
4/24/21,639889,763,1210.1429,
4/25/21,640529,640,1188.7143,
4/26/21,642070,1541,1188.1429,
4/27/21,643341,1271,1163.1429,
4/28/21,644473,1132,1125.7143,
4/29/21,645471,998,1073.8571,
4/30/21,646412,941,1040.8571,
5/1/21,647001,589,1016.0000,
5/2/21,647475,474,992.2857,
5/3/21,648479,1004,915.5714,
5/4/21,649378,899,862.4286,
5/5/21,650252,874,825.5714,
5/6/21,651034,782,794.7143,
5/7/21,651720,686,758.2857,
5/8/21,652142,422,734.4286,
5/9/21,652424,282,707.0000,
5/10/21,653144,720,666.4286,
5/11/21,653723,579,620.7143,
5/12/21,654316,593,580.5714,
5/13/21,654863,547,547.0000,
5/14/21,655329,466,515.5714,
5/15/21,655627,298,497.8571,
5/16/21,655867,240,491.8571,
5/17/21,656384,517,462.8571,
5/18/21,656842,458,445.5714,
5/19/21,657254,412,419.7143,
5/20/21,657640,386,396.7143,
5/21/21,657954,314,375.0000,
5/22/21,658123,169,356.5714,
5/23/21,658268,145,343.0000,
5/24/21,658550,282,309.4286,
5/25/21,658805,255,280.4286,
5/26/21,659042,237,255.4286,
5/27/21,659259,217,231.2857,
5/28/21,659413,154,208.4286,
5/29/21,659506,93,197.5714,
5/30/21,659588,82,188.5714,
5/31/21,659670,82,160.0000,
6/1/21,659856,186,150.1429,
6/2/21,660034,178,141.7143,
6/3/21,660229,195,138.5714,
6/4/21,660385,156,138.8571,
6/5/21,660445,60,134.1429,
6/6/21,660506,61,131.1429,
6/7/21,660645,139,139.2857,
6/8/21,660763,118,129.5714,
6/9/21,660857,94,117.5714,
6/10/21,660978,121,107.0000,
6/11/21,661072,94,98.1429,
6/12/21,661129,57,97.7143,
6/13/21,661170,41,94.8571,
6/14/21,661269,99,89.1429,
6/15/21,661357,88,84.8571,
6/16/21,661439,82,83.1429,
6/17/21,661515,76,76.7143,
6/18/21,661587,72,73.5714,
6/19/21,661635,48,72.2857,
6/20/21,661666,31,70.8571,
6/21/21,661735,69,66.5714,
6/22/21,661821,86,66.2857,
6/23/21,661891,70,64.5714,
6/24/21,661975,84,65.7143,
6/25/21,662036,61,64.1429,
6/26/21,662096,60,65.8571,
6/27/21,662156,60,70.0000,
6/28/21,662253,97,74.0000,
6/29/21,662334,81,73.2857,
6/30/21,662419,85,75.4286,
7/1/21,662522,103,78.1429,
7/2/21,662608,86,81.7143,
7/3/21,662650,42,79.1429,
7/4/21,662683,33,75.2857,
7/5/21,662767,84,73.4286,
7/6/21,662899,132,80.7143,
7/7/21,663055,156,90.8571,
7/8/21,663213,158,98.7143,
7/9/21,663359,146,107.2857,
